obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID,a,b,c
1.2376632049208525e+18,15.3429072623888,0.794881721676044,18.74547,17.49025,16.89122,16.5735,16.2991,4128,301,5,225,4.4594737816432845e+17,GALAXY,0.04200241,396,51816,331,-0.6542175051138273,0.25003293050026726,0.7137807714334197
1.2376639184148234e+18,120.365538286421,55.660432418545,19.99985,19.68133,19.50156,19.17364,19.16122,4294,301,6,111,2.1066486675522452e+18,QSO,1.633797,1871,53384,327,0.34872709965014614,0.5256193782440053,-0.7759598437960449
1.2376554728930675e+18,245.610038285505,42.9747864692766,23.11792,20.81292,18.88351,18.12335,17.68182,2328,301,3,28,6.794880806525622e+18,GALAXY,0.4548521,6035,56076,272,0.4507504345393555,0.28626022421807,-0.8455052511919736
1.2376604137193477e+18,127.957355673887,6.64770319681451,21.94454,21.01012,20.93496,20.93184,20.56855,3478,301,6,78,5.478676324599224e+18,QSO,2.608515,4866,55895,172,-0.6180618962554567,0.7006482891449473,0.35649890226390235
1.2376648804935928e+18,159.174525711413,35.8818457373179,18.89945,17.68422,17.02925,16.6,16.36798,4518,301,6,204,2.36002232712039e+18,GALAXY,0.08380446,2096,53446,495,0.12209616953563658,-0.21123379742013562,-0.9697797730475689
1.2376637841994552e+18,4.65528524679219,0.0897975092669783,24.70919,22.24174,20.71423,19.74283,19.44798,4263,301,4,147,4.749056619224259e+18,GALAXY,0.5960865,4218,55479,39,-0.05684275339129574,-0.9943475042808093,0.08967687615780419
1.2376805291992686e+18,333.367856991256,25.6167077517977,21.99712,21.86035,21.68574,21.34118,21.49415,8162,301,2,87,8.612121489330952e+18,QSO,1.315812,7649,57574,411,0.8287152595977135,0.3110187776455445,0.4652938194966332
1.237648704066093e+18,242.469350464991,-0.350303049311907,18.08347,17.90151,17.79097,17.82611,17.66324,752,301,3,661,3.884803013130588e+17,QSO,0.9256227,345,51690,163,-0.7924314702861286,-0.5042600108924704,-0.34318246795967045
1.2376637836617976e+18,2.96625143053811,-0.326487009360677,20.06307,18.29998,17.47524,17.08221,16.77426,4263,301,3,135,4.368700846574408e+17,GALAXY,0.07021415,388,51793,76,-0.9326518996021526,0.16522910343718375,-0.32071759781128456
1.2376802457438129e+18,7.73894250113824,19.4403344950107,20.88041,20.6957,20.21216,20.12515,19.7371,8096,301,2,276,8.544524328552912e+18,QSO,1.196606,7589,56946,254,0.09533024306011871,0.8250178498744792,0.5570078025904035
1.2376517373846487e+18,219.008405904559,2.85161279237179,17.16901,15.28423,14.4411,14.04219,13.71016,1458,301,5,629,6.03582164704979e+17,GALAXY,0.02877122,536,52024,363,-0.5933429002904163,0.7524536954709541,0.28593292718234103
