,obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1110,1.237671255835083e+18,72.1287179836127,20.8784481059908,18.89346,17.40636,16.73866,16.42101,16.24447,6003,301,1,195,3.018543221572659e+18,STAR,0.0001050444,2681,54397,20
65473,1.2376802768741993e+18,9.43562222884464,27.5366802913226,21.89418,19.7656,18.17213,17.5657,17.12656,8103,301,4,152,7.073159511255833e+18,GALAXY,0.3095834,6282,56572,932
18910,1.2376529479938217e+18,11.6768230376526,-9.64938867805211,22.94977,20.39586,18.68597,18.08917,17.73469,1740,301,4,99,7.387319370483241e+17,GALAXY,0.3168541,656,52148,515
14406,1.2376727644374313e+18,342.416639343862,30.4066241038828,23.53161,22.70996,20.61656,19.69146,19.16356,6354,301,3,120,7.326361369514891e+18,GALAXY,0.4971526,6507,56478,475
94199,1.2376582039819387e+18,209.674266001412,46.6431568979335,22.34684,19.48523,18.03711,17.54271,17.2359,2964,301,2,433,7.599930580881661e+18,GALAXY,0.2428334,6750,56367,386
78265,1.2376637890232328e+18,109.692567002516,40.5238160705841,23.02049,20.82524,19.1263,18.29293,17.75975,4264,301,5,24,3.608646721720132e+18,STAR,-0.0005511559,3205,54848,500
84248,1.237666211949904e+18,313.651163090614,3.31805162092498,18.19623,15.60608,14.39192,13.94388,13.69602,4828,301,6,455,3.1695754375840666e+18,STAR,-4.114571e-05,2815,54414,608
9539,1.2376514952229036e+18,124.365756104716,48.820060132444,24.81181,23.06411,21.83374,20.79157,19.81478,1402,301,2,126,8.239482145472797e+18,GALAXY,0.8413322,7318,56990,533
36745,1.2376576080289475e+18,113.912552503651,27.1469593508276,24.34495,22.57263,21.25284,19.96645,19.74015,2825,301,4,32,9.998637528263168e+17,STAR,0.0003600084,888,52339,235
28154,1.237671141484135e+18,179.536746031768,6.24668410603025,22.5585,21.89491,20.63527,19.7337,19.12575,5976,301,4,234,5.457470869072009e+18,GALAXY,0.5724412,4847,55931,851
14030,1.2376648804863844e+18,140.751606674937,30.0625181363233,26.28895,22.70002,21.40824,20.17933,19.54057,4518,301,6,94,1.2808330665285409e+19,GALAXY,0.5772977,11376,58430,339
358,1.2376802720384294e+18,338.283267351509,20.1386178976798,24.10556,21.54979,20.4519,19.59073,19.20694,8102,301,3,92,5.65780463483803e+18,STAR,5.893176e-05,5025,55836,573
68018,1.2376804744453169e+18,348.995157700945,31.844056572858,21.91498,21.8049,21.09998,20.69321,20.76464,8149,301,4,192,8.742769866925431e+18,QSO,1.605262,7765,58047,571
28596,1.2376613865464799e+18,251.320646510579,31.4434923145359,21.84068,21.75455,21.30935,20.9694,20.69633,3705,301,2,338,1.2289297402398267e+19,QSO,1.989909,10915,58257,363
